order,Distr_ID,Gub_ID,Name_RU,Name_ENG,prov_RU,prov_ENG,district_uk,state_uk
1,3,1,Улеоский,Oulu,Улеаборгская губерния,Oulu governorate,Улеоський повіт,Улеаборгська губернія
2,4,1,Каянаский,Kajaani,Улеаборгская губерния,Oulu governorate,Каянаський повіт,Улеаборгська губернія
3,12,3,Новгородский,Novgorodskii,Новгородская губерния,Novgorod governorate,Новгородський повіт,Новгородська губернія
4,13,3,Тихвинский,Tikhvinskii,Новгородская губерния,Novgorod governorate,Тихвінський повіт,Новгородська губернія
5,30,4,Куортанеский,Kuortane,Вазаская губерния,Vaasa governorate,Куортанеський повіт,Вазаська губернія
6,33,4,Ильмолаский,Ilmajoki,Вазаская губерния,Vaasa governorate,Ільмоласький повіт,Вазаська губернія
7,35,5,Икалисский,Ikalis,Або-Бьернеборгская губерния,Abo-Björneborg governorate,Ікаліський повіт,Або-Б'єрнеборгська губернія
8,42,5,Ульфсбюский,Ulfsby,Або-Бьернеборгская губерния,Abo-Björneborg governorate,Ульфсбюський повіт,Або-Б'єрнеборгська губернія
9,38,5,Маскуский,Masku,Або-Бьернеборгская губерния,Abo-Björneborg governorate,Маскуський повіт,Або-Б'єрнеборгська губернія
10,40,5,Вемоский,Wehmo,Або-Бьернеборгская губерния,Abo-Björneborg governorate,Вемоський повіт,Або-Б'єрнеборгська губернія
11,45,6,Таммелаский,Tammela-Härad,Тавастгусская губерния,Häme governorate,Таммеласський повіт,Тавастгуська губернія
12,44,6,Биркалаский,Birkkala,Тавастгусская губерния,Häme governorate,Біркаласький повіт,Тавастгуська губернія
13,46,6,Гаугоский,Hanho,Тавастгусская губерния,Häme governorate,Гаугоський повіт,Тавастгуська губернія
14,48,6,Ямсяский,Jämsä,Тавастгусская губерния,Häme governorate,Ямсяський повіт,Тавастгуська губернія
15,39,5,Пикисский,Pükkis,Або-Бьернеборгская губерния,Abo-Björneborg governorate,Пікіський повіт,Або-Б'єрнеборгська губернія
16,50,7,Лоиоский,Lojo,Нюландская губерния,Uusimaa governorate,Лойоський повіт,Нюландська губернія
17,34,4,Лауккас,Laukkas,Вазаская губерния,Vaasa governorate,Лауккас,Вазаська губернія
18,53,8,Гейнолаский,Heinola-Härad,Санкт-Михельская губерния,Mikkeli governorate,Гейноласький повіт,Санкт-Михельська губернія
19,27,1,Гапавесиский,Haapavesi,Улеаборгская губерния,Oulu governorate,Гапавесиський повіт,Улеаборгська губернія
20,59,9,Куопиоский,Kuopio,Куопиоская губерния,Kuopio governorate,Куопіоський повіт,Куопіоська губернія
21,62,10,Кюменский\r\n,Kymmene-Härad,Выборгская губерния,Vyborg governorate,Кюменський,Виборзька губернія
22,63,10,Страндасский,Stranda,Выборгская губерния,Vyborg governorate,Страндаський повіт,Виборзька губернія
23,10,2,Шлиссельбургский,Shlisselburgskii,Санкт-Петербургская губерния,St. Petersburg governorate,Шліссельбурзький повіт,Санкт-Петербурзька губернія
24,64,10,Эуряпясский,Ayräpää,Выборгская губерния,Vyborg governorate,Еуряпяський повіт,Виборзька губернія
25,65,10,Лаапвесиский,Lappvesi,Выборгская губерния,Vyborg governorate,Лаапвесиський повіт,Виборзька губернія
26,66,10,Яскисский,Jääskis,Выборгская губерния,Vyborg governorate,Яскіський повіт,Виборзька губернія
27,67,10,Кексгольмский,Kexholm,Выборгская губерния,Vyborg governorate,Кексгольмський повіт,Виборзька губернія
28,2,1,Кемиский,Kemi,Улеаборгская губерния,Oulu governorate,Кеміський повіт,Улеаборгська губернія
29,18,3,Боровичский,Borovichskii,Новгородская губерния,Novgorod governorate,Боровичський повіт,Новгородська губернія
30,83,13,Весьегонский,Vesegonskii,Тверская губерния,Tver governorate,Весьогонський повіт,Тверська губернія
31,86,13,Кашинский,Kashinskii,Тверская губерния,Tver governorate,Кашинський повіт,Тверська губернія
32,87,13,Калязинский,Kaliazinskii,Тверская губерния,Tver governorate,Калязінський повіт,Тверська губернія
33,85,13,Осташковский,Ostashkovskii,Тверская губерния,Tver governorate,Осташковський повіт,Тверська губернія
34,90,13,Старицкий,Staritskii,Тверская губерния,Tver governorate,Старицький повіт,Тверська губернія
35,93,13,Новоторжский,Novotorzhskii,Тверская губерния,Tver governorate,Новоторзький повіт,Тверська губернія
36,94,13,Бежецкий,Bezhetskii,Тверская губерния,Tver governorate,Бежецький повіт,Тверська губернія
37,95,14,Моложский,Molozhskii,Ярославская губерния,Yaroslavl governorate,Моложський повіт,Ярославська губернія
38,96,14,Пошехонский,Poshekhonskii,Ярославская губерния,Yaroslavl governorate,Пошехонський повіт,Ярославська губернія
39,98,14,Даниловский,Danilovskii,Ярославская губерния,Yaroslavl governorate,Даниловський повіт,Ярославська губернія
40,99,14,Ярославский,Iaroslavskii,Ярославская губерния,Yaroslavl governorate,Ярославський повіт,Ярославська губернія
41,101,14,Угличский,Uglichskii,Ярославская губерния,Yaroslavl governorate,Углицький повіт,Ярославська губернія
42,102,14,Мышкинский,Myshkinskii,Ярославская губерния,Yaroslavl governorate,Мишкінський повіт,Ярославська губернія
43,111,15,Устюжский,Ustiuzhskii,Вологодская губерния,Vologda governorate,Устюзький повіт,Вологодська губернія
44,113,15,Усть-сысольский,Ust-Sysolskii,Вологодская губерния,Vologda governorate,Усть-Сисольський повіт,Вологодська губернія
45,107,15,Сольвычегодский,Solvychegodskii,Вологодская губерния,Vologda governorate,Сольвичорічський повіт,Вологодська губернія
46,112,15,Никольский,Nikolskii,Вологодская губерния,Vologda governorate,Микільський повіт,Вологодська губернія
47,116,16,Кологривский,Kologrivskii,Костромская губерния,Kostroma governorate,Кологрівський повіт,Костромська губернія
48,118,16,Варнавинский,Varnavinskii,Костромская губерния,Kostroma governorate,Варнавінський повіт,Костромська губернія
49,121,16,Галичский,Galichskii,Костромская губерния,Kostroma governorate,Галицький повіт,Костромська губернія
50,124,16,Костромской,Kostromskoi,Костромская губерния,Kostroma governorate,Костромській повіт,Костромська губернія
51,97,14,Любимский,Liubimskii,Ярославская губерния,Yaroslavl governorate,Любимський повіт,Ярославська губернія
52,122,16,Юрьевецкий,Iurevetskii,Костромская губерния,Kostroma governorate,Юр'євецький повіт,Костромська губернія
53,125,16,Нерехтский,Nerekhtskii,Костромская губерния,Kostroma governorate,Нерехтський повіт,Костромська губернія
54,126,17,Гороховецкий,Gorokhovetskii,Владимирская губерния,Vladimir governorate,Гороховецький повіт,Володимирська губернія
55,131,17,Судогодский,Sudogodskii,Владимирская губерния,Vladimir governorate,Судогодський повіт,Володимирська губернія
56,132,17,Шуйский,Shuiskii,Владимирская губерния,Vladimir governorate,Шуйський повіт,Володимирська губернія
57,127,17,Вязниковский,Viaznikovskii,Владимирская губерния,Vladimir governorate,В'язніковський повіт,Володимирська губернія
58,100,14,Ростовский,Rostovskii,Ярославская губерния,Yaroslavl governorate,Ростовський повіт,Ярославська губернія
59,133,17,Суздальский,Suzdalskii,Владимирская губерния,Vladimir governorate,Суздальський повіт,Володимирська губернія
60,134,17,Владимирский,Vladimirskii,Владимирская губерния,Vladimir governorate,Володимирський повіт,Володимирська губернія
61,135,17,Юрьевский,Iurevskii,Владимирская губерния,Vladimir governorate,Юріївський повіт,Володимирська губернія
62,137,17,Переславский,Pereslavskii,Владимирская губерния,Vladimir governorate,Переславський повіт,Володимирська губернія
63,139,18,Порховский,Porkhovskii,Псковская губерния,Pskov governorate,Порхівський повіт,Псковська губернія
64,140,18,Холмский,Kholmskii,Псковская губерния,Pskov governorate,Холмський повіт,Псковська губернія
65,143,18,Великолуцкий,Velikolutskii,Псковская губерния,Pskov governorate,Великолуцький повіт,Псковська губернія
66,144,18,Опочецкий,Opochetskii,Псковская губерния,Pskov governorate,Опочецький повіт,Псковська губернія
67,146,18,Островский,Ostrovskii,Псковская губерния,Pskov governorate,Островський повіт,Псковська губернія
68,147,19,Везенбергский,Vezenbergskii,Эстляндская губерния,Estonia governorate,Везенберзький повіт,Естляндська губернія
69,149,19,Ревельский,Revelskii,Эстляндская губерния,Estonia governorate,Ревельський повіт,Естляндська губернія
70,9,2,Гдовский,Gdovskii,Санкт-Петербургская губерния,St. Petersburg governorate,Гдовський повіт,Санкт-Петербурзька губернія
71,151,20,Юрьевский,Iurevskii,Лифляндская губерния,Livonia governorate,Юріївський повіт,Ліфляндська губернія
72,148,19,Вейсенштейнский,Veisenshteinskii,Эстляндская губерния,Estonia governorate,Вейсенштейнський повіт,Естляндська губернія
73,154,20,Перновский,Pernovskii,Лифляндская губерния,Livonia governorate,Пернівський повіт,Ліфляндська губернія
74,155,20,Валкский,Valkskii,Лифляндская губерния,Livonia governorate,Валкський повіт,Ліфляндська губернія
